,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Topic_Name,median2,lower_quartile2,upper_quartile2,lower_whisker2,upper_whisker,Total
0,0,0,0,0,0,0,Test Implementation,8749.454375,2643.3652044753085,23065.18563251609,0.10777777777777778,53600.16845959596,48380010.58092188
1,1,1,1,1,1,1,Comments/ Docstring,4993.353017445799,1177.5272916666665,11970.372625,0.0011111111111111111,28133.400925925926,19090499.91818222
2,2,2,2,2,2,2,Configuration Files,4610.420510416667,1188.2822118055556,13632.636354166669,0.04638888888888889,32273.13688888889,18587063.31256654
3,3,3,3,3,3,3,Dependency Management,4590.449305555556,1262.399513888889,14297.909083333334,0.043611111111111114,33720.453937908496,17287169.13077776
4,4,4,4,4,4,4,I/O and Text Format,4542.373048756799,1087.9047486772486,13385.619704678364,0.1338888888888889,31805.21888888889,21165279.45928498
5,5,5,5,5,5,5,Compiler Optization,4518.612222222222,998.3163194444444,11926.694488636364,0.0225,28181.598611111112,22623390.54191485
6,6,6,6,6,6,6,Code Refactoring,4399.130833333334,1202.7862698412698,11584.579862847224,0.07027777777777777,27118.734166666665,22769089.612979818
7,7,7,7,7,7,7,Feature Expansion,4207.456666666667,1208.060138888889,11431.466888888888,0.04722222222222222,26665.6585,22497139.27948122
8,8,8,8,8,8,8,Program Optimization,4176.1298611111115,1191.0151851851851,9211.950969907408,0.06388888888888888,21202.951944444445,18148285.114416108
9,9,9,9,9,9,9,Continous Integration,4103.51630787037,1206.4380150462962,9575.267083333332,0.015277777777777779,22075.404444444444,12827650.559462715
10,10,10,10,10,10,10,Gates Decomposition,3821.4622222222224,986.6916319444445,10465.317458964646,0.08027777777777778,24615.529166666667,23038695.859245922
11,11,11,11,11,11,11,Arrays and Matrix Operations,3559.411111111111,955.3480555555556,9523.622222222222,0.09,22372.97708333333,17001769.001025204
12,12,12,12,12,12,12,Data Structures and Operations,3404.6166425120773,866.2318055555555,7924.177291666667,0.03027777777777778,18397.845925925925,15636043.336676516
13,13,13,13,13,13,13,Programming Pulse,3390.9130892857142,971.9062847222223,9074.961440972222,0.0002777777777777778,21151.345149572648,18553333.730475456
14,14,14,14,14,14,14,Parameter Checks and Selection,3256.8769444444447,1068.0043611111112,7967.774182098766,0.5483333333333333,18196.123566066068,12282547.950762663
15,15,15,15,15,15,15,Module Testing,3092.693222222222,984.9027777777778,7096.667862295435,0.017222222222222222,16041.873981481482,11363662.656702992
16,16,16,16,16,16,16,Memory and Performance Optimization,2993.122361111111,885.6200231481482,8257.166511243386,0.007083333333333334,19268.940555555557,12209057.109915597
17,17,17,17,17,17,17,Legacy Code & Deprecation,2952.434236111111,784.1514158950617,7686.970486111111,0.026111111111111113,18022.071354166666,17028121.390710477
18,18,18,18,18,18,18,Circuit Design,2725.7113095238096,681.2895833333333,7610.280555555555,0.041666666666666664,18002.013611111113,16521920.424188688
19,19,19,19,19,19,19,Message Passing,2665.860138888889,740.1179166666667,6311.0332638888885,0.024444444444444446,14665.206527777777,10293219.151788037
20,20,20,20,20,20,20,Code Integration,2570.5930555555556,1030.24875,4929.19263888889,0.4736111111111111,10722.631944444445,8977477.297037495
21,21,21,21,21,21,21,Configuration Interaction,1006.9506944444444,24.00027777777778,4510.070945868945,0.010833333333333334,11204.218854166666,8973205.489904799
22,22,22,22,22,22,22,Orbital Energies,2570.593055555556,1030.24875,4929.19263888889,0.4736111111111111,10722.631944444445,8977477.297037495
23,23,23,23,23,23,23,Path Integral,1006.9506944444445,24.000277777777786,4510.070945868944,0.010833333333333334,11204.218854166666,8973205.489904799
