snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,0,2424,0,1577,189,658,0,39155
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,201,0,90,19,92,0,2867
6,0,648,0,461,75,112,0,7476
7,0,634,0,446,76,112,0,7462
8,0,454,0,331,27,96,0,6812
9,0,484,0,361,27,96,0,7198
10,0,482,0,361,27,94,0,7195
11,0,482,0,361,27,94,0,7195
12,0,292,0,171,27,94,0,4953
13,0,292,0,171,27,94,0,4953
14,0,292,0,171,27,94,0,4953
15,0,292,0,171,27,94,0,4953
16,0,292,0,171,27,94,0,4953
