snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,500,2100,29,1363,652,529,85,121205.0
2,90,411,6,252,147,97,11,20238.0
3,103,411,5,254,147,103,15,23622.0
4,103,411,5,254,147,103,15,23622.0
5,103,411,5,254,147,103,15,23617.0
6,103,411,5,254,147,103,15,23622.0
7,103,411,6,254,147,103,16,23803.0
8,103,411,6,254,147,103,16,23803.0
9,103,411,6,254,147,103,16,23809.0
10,103,411,6,254,147,103,16,23809.0
11,103,411,6,254,147,103,16,23809.0
12,103,411,6,254,147,103,16,23809.0
13,103,411,6,254,147,103,16,23809.0
