snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,16005,34160,0,33947,6675,8954,589,12107888.0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,2438,6425,0,6007,1034,1729,93,2832928.0
11,2438,6425,0,6007,1034,1729,93,2832934.0
12,2438,6470,0,6037,1049,1729,93,2836150.0
13,2438,6445,0,6012,1049,1729,93,2835726.0
14,1029,3035,0,2218,1080,711,55,186498.0
15,1029,3099,0,2252,1110,711,55,191554.0
16,219,461,0,413,109,136,22,12697.0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0
