snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,1520,1908,0,2680,548,180,20,197212
2,0,0,0,0,0,0,0,0
3,760,954,0,1340,274,90,10,98606
4,760,954,0,1340,274,90,10,98606
5,760,954,0,1340,274,90,10,98606
6,760,954,0,1340,274,90,10,98606
7,760,954,0,1340,274,90,10,98606
8,760,954,0,1340,274,90,10,98606
9,760,954,0,1340,274,90,10,98606
10,760,954,0,1340,274,90,10,98606
11,760,954,0,1340,274,90,10,98606
12,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0
