snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,392,1256,0,257,666,355,370,54655
1,584,6609,0,1901,3656,1086,550,214226
2,105,1850,0,343,970,542,100,65172
3,175,2075,0,487,1131,462,170,80542
4,175,2143,0,532,1135,481,170,86918
5,185,2219,0,577,1148,499,180,90055
6,185,2221,0,577,1150,499,180,90279
7,205,2280,0,572,1214,499,200,93750
8,205,2345,0,577,1264,509,200,94524
9,205,2353,0,577,1272,509,200,94529
10,205,2240,0,657,1301,287,200,75932
11,27,2678,0,939,1449,297,20,73717
