snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,3758,24810,0,9183,2846,12839,3700,1398847
2,10,1367,0,205,213,949,10,96371
3,50,1615,0,265,277,1073,50,106646
4,510,2684,0,765,312,1607,510,116039
5,30,1021,0,240,192,589,30,50514
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,325,2952,0,1125,339,1493,320,149163
11,325,2996,0,1125,369,1507,320,154402
12,405,3370,0,1335,421,1619,400,173105
13,425,3570,0,1410,388,1777,420,204411
14,929,3789,0,1454,422,1922,920,245392
15,979,3916,0,1494,435,1996,970,254341
16,75,920,0,335,89,501,70,41040
17,75,931,0,335,96,505,70,43061
18,95,804,0,220,88,501,90,39003
19,105,804,0,220,88,501,100,39254
