snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,1810,22116,0,12635,5782,5189,320,2926249
2,80,2093,0,645,1072,366,90,408014
3,330,2045,0,740,806,477,352,336702
4,67,2357,0,1115,589,686,34,408472
5,395,1194,0,615,287,659,28,487169
6,447,2619,0,1102,1087,807,70,593183
7,445,3783,0,1915,1151,1092,70,590418
8,445,4531,0,2465,1251,1190,70,636135
9,445,4619,0,2570,1260,1164,70,635171
10,445,4698,0,2590,1264,1219,70,648575
11,445,4698,0,2590,1264,1219,70,648590
12,455,5430,0,3185,1360,1270,70,722645
13,445,5501,0,3180,1431,1265,70,714949
