snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,531,7168,0,1428,4530,1690,51,245151
2,80,651,0,195,366,158,12,19940
3,60,684,0,175,417,150,2,18975
4,60,728,0,175,445,166,2,21314
5,60,811,0,175,470,224,2,26238
6,66,812,0,178,469,224,7,27015
7,66,812,0,173,474,224,7,27159
8,66,812,0,173,474,224,7,27159
9,66,811,0,172,474,224,7,26837
10,69,942,0,195,568,241,7,30274
11,72,949,0,183,600,231,7,32992
12,72,956,0,183,607,231,7,33295
13,72,956,0,183,607,231,7,33310
14,72,965,0,173,626,231,7,33542
15,72,956,0,173,622,226,7,33581
16,72,917,0,153,613,216,7,32055
