snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,62,2592,0,532,1948,114,60,113448.0
1,122,11144,0,1857,8976,323,110,284862.0
2,207,3711,0,817,2658,243,200,146265.0
3,567,4977,0,1912,2809,263,560,172530.0
4,462,5854,0,1807,3787,272,450,169193.0
5,477,5868,0,1807,3801,267,470,169306.0
6,425,5957,0,1810,3896,256,420,171097.0
7,455,5795,0,1725,3850,225,450,162949.0
8,150,3112,0,560,2429,123,150,103402.0
9,60,2721,0,390,2260,71,60,59692.0
10,10,2738,0,430,2247,61,10,56018.0
11,25,2866,0,460,2339,72,20,57344.0
12,25,2948,0,435,2442,76,20,58052.0
