snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,3245,9294,0,6110,2754,415,3260,292119
2,1715,5032,0,2955,1887,183,1722,166922
3,95,602,0,535,44,26,92,28811
4,125,683,0,610,55,21,122,34656
5,135,772,0,695,69,11,132,43953
6,140,823,0,725,80,16,142,44312
7,240,788,0,725,60,1,242,27474
8,230,794,0,725,66,1,232,26411
9,300,1176,0,975,178,21,302,40858
10,300,1176,0,975,178,21,302,41098
11,310,1206,0,1005,178,21,312,43004
12,320,702,0,455,214,31,322,21207
13,320,697,0,435,224,36,322,21365
14,340,698,0,440,220,36,342,20758
15,310,823,0,465,315,41,312,24910
16,320,875,0,485,337,51,322,26934
17,320,915,0,505,357,51,322,27702
18,320,918,0,505,355,56,322,28337
19,330,922,0,505,359,56,332,28617
20,340,928,0,510,360,56,342,29456
21,350,918,0,505,365,46,352,28917
22,310,928,0,525,370,31,312,32132
23,310,926,0,525,384,15,312,31780
24,320,908,0,505,386,15,322,32184
