snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,798,16256,34,6345,8560,1789,394,1609270.0
1,3542,52113,44,32602,17632,4288,1177,140164004.0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,344,6542,2,4785,1446,555,102,23039998.0
11,367,6420,2,4555,1525,587,122,23106906.0
12,330,6796,2,4566,1811,593,158,23090043.0
13,1225,9819,4,7453,2694,621,280,39572830.0
14,939,6418,0,5238,1626,325,168,30100732.0
15,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
