snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,1195,17965,0,8115,6225,4230,590,1143251.0
2,6509,28934,0,17836,9245,7612,750,2092060.0
3,67,1095,0,415,434,313,0,44938.0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,12,1510,0,585,565,327,45,92915.0
11,22,1560,0,610,578,339,55,94189.0
12,22,1535,0,575,582,345,55,93317.0
13,42,1540,0,600,582,345,55,94168.0
14,42,1618,0,670,582,353,55,95718.0
15,189,1678,0,850,582,380,55,97888.0
16,189,1758,0,930,582,380,55,98453.0
17,204,2018,0,1020,628,509,65,116551.0
18,239,2311,0,1125,733,617,75,169264.0
19,234,2437,0,1150,811,635,75,190788.0
20,242,2570,0,1208,862,667,75,194263.0
21,424,2645,0,1463,862,669,75,195054.0
22,656,2705,0,1743,862,681,75,195146.0
23,711,2730,0,1768,862,736,75,203144.0
24,686,2740,0,1758,862,731,75,202618.0
25,758,2804,0,1883,862,742,75,203303.0
26,758,3060,0,1963,992,788,75,213650.0
27,758,3230,0,2020,1027,866,75,228481.0
28,758,3230,0,2020,1027,866,75,228450.0
29,758,3220,0,2010,1027,866,75,227951.0
30,65,657,0,280,230,212,0,30056.0
31,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0
