snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,6478,47701,0,19493,14069,16297,4320,10291294.0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,1304,9358,0,3751,2879,3158,874,2038512.0
11,1304,9311,0,3721,2830,3190,874,2049917.0
12,1284,9576,0,3836,2933,3237,854,2055351.0
13,1284,9619,0,3846,2954,3249,854,2072318.0
14,1292,9229,0,4004,2389,3274,854,2040173.0
15,0,141,0,110,22,9,0,2489.0
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
