snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,41,0,20,0,21,0,240
1,180,4373,0,1400,1292,1721,140,722648
2,0,117,0,5,65,47,0,4375
3,60,712,0,205,241,246,80,39285
4,50,787,0,215,256,296,70,48688
5,290,724,0,175,282,247,310,53401
6,40,675,0,210,225,220,60,44147
7,40,1060,0,390,350,300,60,64810
8,60,1097,0,420,343,334,60,68381
9,60,1118,0,420,364,334,60,71465
10,60,1190,0,450,400,340,60,73430
11,60,1527,0,505,406,636,40,313305
12,60,1495,0,435,441,639,40,330903
