snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,209,3946,9,1753,1921,481,9,191659
2,435,4665,10,1809,2597,692,12,146582
3,285,3384,3,1179,2007,481,5,122563
4,5,96,0,69,20,10,2,2137
5,1512,1429,0,2615,177,131,18,339688
6,1495,1384,0,2572,156,131,20,338383
7,1517,731,0,2074,67,99,8,42827
8,12,240,0,132,96,24,0,7462
9,1502,1449,0,2625,177,131,18,339905
10,2,270,0,122,113,37,0,11717
11,7,297,1,137,120,47,1,12739
12,7,322,1,127,156,46,1,18474
13,17,369,1,147,197,42,1,24718
14,17,403,1,172,204,44,1,29683
15,17,407,1,172,208,44,1,29942
16,17,468,1,217,219,49,1,31812
17,30,462,1,205,233,54,1,10216
18,30,462,1,205,233,54,1,10216
19,55,467,1,220,238,64,1,10957
20,55,470,1,220,241,64,1,11138
21,35,410,1,165,221,59,1,11510
22,45,454,1,165,261,73,1,14369
23,45,468,1,175,265,73,1,14784
24,45,471,1,175,268,73,1,15473
25,45,467,1,175,264,73,1,15495
26,40,467,1,175,264,68,1,15407
27,45,467,1,175,264,73,1,15495
28,40,473,1,175,270,68,1,15488
29,40,472,1,165,279,68,1,16056
30,40,482,1,165,289,68,1,16327
31,40,476,1,165,283,68,1,15837
32,40,481,1,170,283,68,1,15887
33,40,481,0,170,283,68,0,15834
34,40,490,0,165,297,68,0,19582
35,40,455,0,140,287,68,0,19544
36,40,453,0,140,285,68,0,17951
