snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,40,15,0,0,15,0,40,476
1,1476,3635,450,2606,2352,143,460,127409
2,1591,6051,90,3811,3337,454,130,180264
3,1588,6249,0,2507,4342,988,0,260932
4,6,103,0,46,63,0,0,3115
5,14,108,0,59,51,2,10,2869
6,4,108,0,59,51,2,0,2797
7,22,78,0,17,39,34,10,2201
8,120,167,45,150,100,37,45,2514
9,120,232,45,165,149,38,45,4122
10,156,267,45,196,179,38,55,6471
11,146,331,45,236,208,33,45,9969
12,146,322,45,236,227,5,45,9951
13,146,322,45,261,202,5,45,11348
14,146,361,45,261,239,7,45,12891
15,146,369,45,261,243,11,45,13998
16,146,378,45,266,247,11,45,14417
17,146,376,45,261,250,11,45,14398
18,146,406,45,291,250,11,45,15515
19,146,406,45,291,250,11,45,15515
20,146,406,45,291,250,11,45,15517
21,146,428,45,301,262,11,45,12881
22,151,428,0,316,246,17,0,11452
23,161,547,0,361,306,31,10,16766
24,161,549,0,361,303,36,10,17294
25,170,590,0,371,328,51,10,19520
26,170,686,0,441,337,68,10,18165
27,160,842,0,526,402,74,0,21543
28,160,854,0,531,409,74,0,21898
29,160,624,0,266,437,81,0,22260
30,174,629,0,265,438,100,0,24817
31,174,648,0,260,458,104,0,25904
32,172,669,0,258,471,112,0,27945
33,177,689,0,283,471,112,0,29469
34,177,689,0,283,471,112,0,29543
35,177,706,0,278,493,112,0,29485
36,177,706,0,278,493,112,0,30237
37,177,708,0,278,495,112,0,30274
38,177,708,0,278,495,112,0,30275
