snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,712,0,300,161,246,5,44130
1,320,4621,0,1390,1154,2187,210,293436
2,0,802,0,325,231,246,0,44429
3,0,802,0,325,231,246,0,44445
4,0,9,0,5,0,4,0,162
5,60,171,0,55,56,60,60,3511
6,40,154,0,50,50,54,40,2676
7,0,802,0,325,231,246,0,44701
8,40,638,0,125,174,339,40,43940
9,40,688,0,165,178,345,40,44244
10,60,724,0,195,190,359,40,46531
11,60,754,0,215,180,379,40,47662
12,60,795,0,220,195,400,40,50710
13,65,800,0,230,206,389,40,50553
14,75,841,0,230,222,414,50,54409
