snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,159,16744,0,4544,11142,1177,40,435776
2,530,22854,53,5511,15866,1607,453,827940
3,5,592,0,125,392,80,0,8892
4,5,587,0,145,367,80,0,8901
5,5,619,0,150,389,85,0,9089
6,16,677,0,207,391,95,0,9675
7,17,778,0,213,487,95,0,13406
8,17,1106,0,343,679,101,0,22000
9,17,1187,0,383,718,103,0,24828
10,17,1319,0,418,815,103,0,28362
11,17,1327,0,418,823,103,0,28906
12,17,1461,0,443,927,108,0,34135
13,27,1441,0,428,922,108,10,33743
14,27,1486,0,443,952,108,10,35573
15,5,1711,0,420,1193,103,0,44792
16,5,1973,0,465,1402,111,0,54558
17,5,1938,0,450,1382,111,0,54205
18,7,1871,0,477,1290,111,0,57663
19,7,1891,0,492,1295,111,0,58120
20,17,1996,6,497,1380,136,6,60911
21,17,2083,6,517,1432,151,6,65552
22,7,2101,2,517,1450,141,2,66017
23,47,2136,6,517,1475,151,46,71464
24,51,2244,6,516,1572,167,46,88963
25,51,2267,6,521,1590,167,46,89494
26,71,2338,7,541,1636,172,67,93583
27,132,3580,7,877,2510,215,117,140292
28,132,3656,7,898,2553,227,117,145049
