snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,65,5784,0,3280,2189,360,20,180244
2,240,7493,0,1353,5238,1102,40,205388
3,240,9209,0,1913,6297,1159,80,248405
4,0,338,0,240,98,0,0,7179
5,0,338,0,240,98,0,0,7179
6,0,347,0,245,98,4,0,7281
7,0,398,0,285,109,4,0,7683
8,0,398,0,285,109,4,0,7713
9,10,633,0,480,134,19,10,15597
10,0,618,0,465,134,19,0,14629
11,0,732,0,505,203,24,0,23639
12,0,347,0,205,123,19,0,6775
13,0,432,0,255,148,29,0,10568
14,0,794,0,555,220,19,0,24248
15,0,698,0,385,289,24,0,24566
16,0,693,0,385,284,24,0,24562
17,5,579,0,245,298,41,0,21645
18,30,366,0,110,199,77,10,13145
19,30,441,0,110,272,79,10,13819
20,20,475,0,105,311,79,0,14323
21,20,540,0,105,361,94,0,14705
22,20,667,0,100,477,110,0,19274
23,20,738,0,115,513,130,0,20684
24,20,769,0,130,529,130,0,20771
25,20,702,0,100,527,95,0,19682
26,30,806,0,125,592,109,10,21059
27,30,881,0,161,620,120,10,23830
28,30,886,0,161,625,120,10,23961
29,30,901,0,161,645,115,10,23909
30,30,916,0,176,645,115,10,24447
31,30,916,0,176,645,115,10,24450
32,30,923,0,176,652,115,10,24477
33,30,1177,0,211,829,157,10,31230
34,30,1254,0,251,866,157,10,33764
35,30,1254,0,251,866,157,10,33764
36,30,1254,0,251,866,157,10,33780
37,30,1285,0,251,868,186,10,38192
