snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,14748,52399,0,55606,780,8479,2282,31793544
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,1558,6029,0,6320,84,917,266,3409978
11,1588,6036,0,6327,84,947,266,3426988
12,1884,7017,0,7447,109,1039,306,4392279
13,1904,7027,0,7462,109,1054,306,4405958
14,1904,7032,0,7467,109,1054,306,4423320
15,1904,7032,0,7467,109,1054,306,4424666
16,1904,7037,0,7472,109,1054,306,4425506
17,1212,3530,0,3718,32,782,210,2150606
