snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,70,1383,0,372,668,343,70,166447.0
1,11910,46112,0,13890,32814,6960,4358,2467149.0
2,9537,2790,0,10303,1340,596,88,1277384.0
3,10612,3757,0,12103,1468,726,72,2009353.0
4,10702,3902,0,12208,1583,741,72,2042004.0
5,12446,4047,0,13958,1651,792,92,1887602.0
6,13601,1258,0,14631,5,215,8,1999443.0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,312,3467,0,439,2692,408,240,203269.0
11,392,3652,0,493,2788,443,320,217221.0
12,632,3567,0,508,2677,454,560,103903.0
13,512,3883,0,533,2914,508,440,114830.0
14,657,4854,0,733,3444,764,570,172694.0
15,545,4746,0,708,3368,745,470,167895.0
16,555,4832,0,718,3424,765,480,169136.0
17,485,4847,0,707,3450,765,410,167650.0
18,478,4861,0,715,3467,757,400,167164.0
19,478,4793,0,720,3383,768,400,169191.0
