snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,40813,57330,0,16148,36032,5103,40860,12183488
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,172,6263,0,1852,3813,574,196,1269565
11,172,6355,0,1852,3905,574,196,1340674
12,177,6380,0,1852,3925,574,206,1349659
13,202,6375,0,1852,3920,574,231,1352510
14,222,6546,0,1877,4061,579,251,1413243
15,232,6544,0,1877,4059,579,261,1418518
16,232,5833,0,1522,3828,454,261,1278041
17,227,9052,0,2362,5975,686,256,1562634
18,38570,1927,0,365,1399,153,38580,932215
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0
