snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,0,100,0,100,0,0,0,740
2,0,78,0,70,0,8,0,466
3,0,0,0,0,0,0,0,0
4,0,10,0,10,0,0,0,74
5,0,10,0,10,0,0,0,74
6,0,10,0,10,0,0,0,74
7,0,10,0,10,0,0,0,74
8,0,10,0,10,0,0,0,74
9,0,10,0,10,0,0,0,74
10,0,10,0,10,0,0,0,74
11,0,10,0,10,0,0,0,74
12,0,10,0,10,0,0,0,74
13,0,10,0,10,0,0,0,74
14,0,10,0,10,0,0,0,74
15,0,10,0,10,0,0,0,74
16,0,10,0,10,0,0,0,74
17,0,10,0,10,0,0,0,74
18,0,10,0,10,0,0,0,74
19,0,10,0,10,0,0,0,74
20,0,10,0,10,0,0,0,74
21,0,10,0,10,0,0,0,74
22,0,10,0,10,0,0,0,74
23,0,10,0,10,0,0,0,74
24,0,10,0,10,0,0,0,74
