snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,70,0,70,0,0,0,2562
1,4446,4183,0,1576,2568,75,4410,311486
2,7380,2717,0,960,1741,52,7344,450559
3,15,197,0,60,135,5,12,4041
4,65,256,0,135,119,5,62,6711
5,65,271,0,135,132,7,62,8199
6,75,281,0,135,142,7,72,9627
7,75,271,0,130,137,7,72,9854
8,75,321,0,160,157,7,72,11227
9,75,323,0,160,159,7,72,11317
10,65,334,0,160,170,7,62,11848
11,215,365,0,160,201,7,212,18196
12,215,395,0,160,231,7,212,20694
13,255,385,0,160,221,7,252,21589
14,345,426,0,150,272,7,342,29340
15,485,382,0,130,248,7,482,34122
16,635,429,0,150,275,7,632,39599
17,667,429,0,152,275,7,662,41699
18,767,441,0,162,277,7,762,43722
19,797,462,0,162,298,7,792,48516
20,807,469,0,162,305,7,802,49186
21,1307,481,0,162,319,7,1300,76983
22,1657,514,0,192,318,11,1650,97525
23,1777,522,0,192,326,11,1770,110550
24,1817,534,0,192,338,11,1810,112310
