snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,740,310,0,240,53,17,740,29033
1,1180,14608,0,7332,3673,2233,2550,3240979
2,755,320,0,225,78,22,750,33082
3,754,386,0,279,59,22,780,40746
4,804,1316,0,345,270,425,1080,573304
5,904,1571,0,455,394,446,1180,587889
6,8,1520,0,761,360,257,150,298736
7,28,1863,0,943,371,317,260,484313
8,38,1992,0,963,442,355,270,520898
9,43,2449,0,1248,571,393,280,558688
10,43,2546,0,1298,595,406,290,593163
11,43,2581,0,1314,614,406,290,603335
12,108,3052,0,1500,789,471,400,670961
13,108,3065,0,1495,811,467,400,671556
14,108,3070,0,1500,811,467,400,671735
