snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,1505,7718,0,4694,2371,1238,920,6097949
2,365,3504,0,2501,681,551,136,456377
3,22787,4517,0,25373,966,829,136,2640816
4,4755,2034,0,5475,636,533,145,454361
5,401,2305,0,1106,876,542,182,388218
6,618,2257,0,1182,893,363,437,2819296
7,618,2201,0,1157,862,363,437,2819232
8,618,2201,0,1152,867,363,437,2819295
9,618,2201,0,1152,867,363,437,2819295
10,618,2201,0,1152,867,363,437,2819295
11,618,2201,0,1152,867,363,437,2819301
