snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,1955,7391,0,3980,2032,1394,1940,308281
2,20,400,0,185,130,85,20,11183
3,20,537,0,290,140,107,20,16903
4,30,537,0,290,140,107,30,17257
5,30,549,0,295,145,109,30,17777
6,20,612,0,340,145,127,20,21671
7,20,645,0,360,145,140,20,22738
8,20,661,0,375,153,133,20,23670
9,80,869,0,480,237,152,80,28825
10,80,926,0,520,245,161,80,30633
11,90,974,0,565,246,163,90,31667
12,90,774,0,365,246,163,90,24084
13,50,655,0,315,221,119,50,20289
14,310,653,0,340,197,116,310,30733
15,253,617,0,348,146,126,250,31650
16,253,658,0,358,177,126,250,33678
17,253,658,0,358,177,126,250,33702
18,293,657,0,348,177,135,290,35064
19,263,654,0,348,177,132,260,34343
