snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,30,2245,0,190,2027,28,30,26704
1,160,22763,0,4685,17039,1039,160,1196954
2,10,1336,0,490,806,40,10,49356
3,50,1632,0,400,1171,61,50,89606
4,30,1857,0,505,1286,66,30,90664
5,30,1304,0,275,980,49,30,69591
6,30,1553,0,315,1169,69,30,91593
7,20,1628,0,315,1249,64,20,89706
8,20,1739,0,325,1329,85,20,94697
9,20,2138,0,430,1597,111,20,138156
10,20,2332,0,505,1695,132,20,144245
11,10,3077,0,695,2250,132,10,152686
12,20,2338,0,505,1701,132,20,144419
13,20,2436,0,510,1792,134,20,154663
14,20,3314,0,750,2403,161,20,189137
15,20,3309,0,745,2403,161,20,188950
16,20,3309,0,745,2403,161,20,188949
