snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,86,0,80,6,0,0,571
1,2533,41148,0,10828,27931,2612,2310,1784998
2,205,2014,0,645,814,560,200,127067
3,165,2325,0,695,998,647,150,157692
4,10,2984,0,900,1736,358,0,134595
5,10,3432,0,1080,1939,423,0,164344
6,120,3002,0,925,1854,233,110,108472
7,59,4014,0,1103,2640,275,55,120138
8,230,4188,0,1085,2887,216,230,102900
9,86,4985,0,1296,3346,349,80,155941
10,432,5564,0,1563,3681,362,390,191125
11,432,6125,0,1603,4208,356,390,224658
12,726,7059,0,1927,4812,366,680,282289
13,504,10130,0,2656,7015,513,450,484061
14,409,10484,0,2534,7444,545,370,531847
