snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,2584,57386,0,40965,11872,4993,2140,4174077.0
2,1046,7373,0,5277,1080,1072,990,858521.0
3,1201,8478,0,5892,1448,1209,1130,1016360.0
4,408,3880,0,2418,901,579,390,317892.0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,279,9297,0,6675,1846,855,200,728631.0
11,293,9000,0,6459,1861,753,220,663416.0
12,290,9184,0,6536,1953,765,220,676718.0
13,310,9211,0,6601,1915,765,240,672580.0
14,296,8938,0,6397,1889,718,230,634276.0
15,296,8943,0,6392,1889,728,230,635600.0
