snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,675,12800,0,7895,3342,1128,1110,501004
2,0,177,0,55,63,19,40,3213
3,0,177,0,55,63,19,40,3259
4,0,432,0,160,140,92,40,12196
5,50,951,0,425,360,116,100,59406
6,50,841,0,450,250,91,100,30575
7,50,826,0,425,263,88,100,31491
8,60,1139,0,705,291,93,110,43643
9,60,1159,0,725,291,93,110,45099
10,60,1175,0,735,297,93,110,45745
11,60,1186,0,725,308,103,110,47084
12,60,1224,0,745,326,103,110,47959
13,60,1204,0,730,314,110,110,48104
14,60,1236,0,755,326,105,110,49132
15,75,1333,0,835,343,120,110,52180
16,75,1333,0,835,343,120,110,52180
17,75,1333,0,835,343,120,110,52200
18,75,1333,0,835,343,120,110,52200
19,75,1333,0,835,343,120,110,52200
