snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,0,0,0,0,0,0,0,0
1,3923,17422,0,6773,8166,2638,3768,975457.0
2,809,2916,0,1049,1485,439,752,150893.0
3,430,1079,0,455,567,87,400,29273.0
4,430,1079,0,455,567,87,400,29273.0
5,445,1054,0,535,427,97,440,37640.0
6,555,1001,0,485,408,113,550,44249.0
7,275,1476,0,815,512,154,270,45389.0
8,240,1469,0,665,585,229,230,46862.0
9,90,1113,0,465,457,201,80,33951.0
10,130,1114,0,440,500,184,120,37760.0
11,160,1144,0,420,535,197,152,46025.0
12,263,1273,0,468,581,235,252,62899.0
13,348,1854,0,758,852,260,332,97843.0
14,428,1883,0,743,896,260,412,110757.0
15,428,1929,0,783,894,268,412,113435.0
16,428,1967,0,768,929,286,412,116225.0
17,428,2039,0,788,965,302,412,121724.0
18,471,2231,0,871,1038,341,452,135427.0
19,769,1983,0,729,976,305,742,133098.0
20,769,1998,0,729,991,305,742,133947.0
