snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,775,1871,0,1325,183,368,770,31336.0
1,12071,55309,0,26581,15805,13124,11870,2859936.0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,2414,6818,0,3129,1892,1831,2380,371583.0
11,2684,6864,0,3139,1868,1891,2650,379804.0
12,2826,7220,0,3421,1916,1919,2790,412281.0
13,2755,8357,0,3690,2532,2160,2730,466157.0
14,161,10132,0,4916,2952,2285,140,538496.0
15,151,9201,0,4126,3101,1995,130,477262.0
16,110,2773,0,1120,1153,530,80,132156.0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0
