snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,510,4874,0,1490,1415,1949,530,2442061.0
1,5192,41445,0,21068,11296,8788,5485,3318859.0
2,445,4423,0,1191,1322,1880,475,2436684.0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,695,3268,0,1671,890,677,725,83796.0
11,695,3319,0,1691,933,665,725,84900.0
12,705,3560,0,1891,942,697,735,85417.0
13,699,3600,0,1915,960,699,725,86343.0
14,709,3664,0,1930,1001,707,735,88133.0
15,239,3994,0,2190,1068,710,265,97529.0
16,249,4026,0,2190,1105,705,275,99138.0
17,249,3569,0,1965,944,634,275,79954.0
18,189,3632,0,2015,957,634,215,80358.0
19,198,3667,0,2044,949,657,215,79167.0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0
