snapshot,bugs,smells,vulnerability,Major,Critical,Minor,Blocker,nCLOC
0,5,235,0,170,60,10,0,38399
1,50,4345,0,1160,3050,185,0,188349
2,15,4372,0,1185,2876,316,10,239134
3,5,348,0,120,223,10,0,11160
4,5,342,0,95,241,11,0,12223
5,5,355,0,95,252,13,0,12960
6,5,380,0,95,279,11,0,13369
7,5,380,0,95,279,11,0,13380
8,5,380,0,95,279,11,0,13419
9,5,380,0,95,279,11,0,13431
10,5,458,0,95,347,21,0,18644
11,5,380,0,95,279,11,0,13467
12,5,387,0,95,286,11,0,13966
13,5,387,0,95,286,11,0,13966
14,5,413,0,100,302,16,0,15329
15,5,413,0,100,302,16,0,15329
16,5,418,0,100,307,16,0,15364
17,5,418,0,100,307,16,0,15357
18,5,465,0,135,302,33,0,20661
19,0,381,0,75,278,28,0,14136
20,5,418,0,100,307,16,0,15357
21,0,424,0,100,296,28,0,14037
22,0,414,0,100,281,33,0,13642
23,0,406,0,100,273,33,0,13522
24,0,412,0,100,279,33,0,13891
25,0,420,0,100,287,33,0,15582
26,0,420,0,100,287,33,0,15582
27,0,455,0,100,322,33,0,18742
28,0,460,0,100,327,33,0,19640
