Tags,project_type,category,project,total_debt
convention,Quantum,Quantum Algorithsm,netket/netket,15.948275862068964
convention,Quantum,Quantum Algorithsm,JoshuaSBrown/QC_Tools,0
convention,Quantum,Quantum Algorithsm,quantumlib/OpenFermion,25.14512679498931
convention,Quantum,Quantum Algorithsm,ProjectQ-Framework/FermiLib,7.446808510638297
convention,Quantum,Quantum Algorithsm,dwave-examples/factoring,11.111111111111112
convention,Quantum,Quantum Algorithsm,PanPalitta/phase_estimation,0
convention,Quantum,Quantum Algorithsm,qrefine/qrefine,19.66
convention,Quantum,Quantum Algorithsm,mabuchilab/QNET,44.3477277865702
convention,Quantum,Quantum Algorithsm,Qiskit/qiskit-aqua,20.46500363284088
convention,Quantum,Quantum Algorithsm,XanaduAI/thewalrus,50.99009900990099
convention,Quantum,Quantum Algorithsm,rigetti/grove,51.1904761904762
convention,Quantum,Quantum Algorithsm,Q-solvers/EDLib,29.999999999999996
convention,Quantum,Quantum Algorithsm,aeantipov/pomerol,12.5
convention,Quantum,Quantum Algorithsm,qucontrol/krotov,70.06427915518825
convention,Quantum,ToolKit,qucat/qucat,11.50855365474339
convention,Quantum,ToolKit,orbkit/orbkit,14.28
convention,Quantum,ToolKit,deepchem/deepchem,35.49
convention,Quantum,ToolKit,bloomberg/quantum,0.0
convention,Quantum,ToolKit,lmacken/quantumrandom,3.1746031746031744
convention,Quantum,ToolKit,rigetti/forest-benchmarking,72.52396166134184
convention,Quantum,ToolKit,TRIQS/triqs,44.33
convention,Quantum,ToolKit,zoran-cuckovic/QGIS-visibility-analysis,43.52000000000001
convention,Quantum,ToolKit,QuTech-Delft/qtt,41.150000000000006
convention,Quantum,ToolKit,evaleev/libint,0.0
convention,Quantum,ToolKit,redhat-cip/openstack-quantum-puppet,0
convention,Quantum,ToolKit,qubekit/QUBEKit,30.023640661938533
convention,Quantum,ToolKit,OriginQ/QPanda-2,26.93433709744877
convention,Quantum,ToolKit,boschmitt/tweedledum,0
convention,Quantum,ToolKit,qojulia/QuantumOptics.jl,0.0
convention,Quantum,ToolKit,tensorflow/quantum,1.8633540372670807
convention,Quantum,ToolKit,XanaduAI/pennylane,52.26537216828479
convention,Quantum,ToolKit,aiidateam/aiida-quantumespresso,8.346456692913387
convention,Quantum,ToolKit,QInfer/python-qinfer,35.5806872553284
convention,Quantum,ToolKit,jcmgray/quimb,66.55872828966736
convention,Quantum,ToolKit,Qiskit/qiskit-ignis,39.76
convention,Quantum,Compiler,Quantomatic/pyzx,9.371727748691098
convention,Quantum,Compiler,microsoft/qsharp-compiler,0
convention,Quantum,Compiler,QE-Lab/OpenQL,7.519999999999999
convention,Quantum,Quantum-Chemistry,MolSSI-BSE/basis_set_exchange,21.31495227995758
convention,Quantum,Quantum-Chemistry,Quantum-Dynamics-Hub/libra-code,38.63
convention,Quantum,Quantum-Chemistry,GQCG/GQCP,0.0
convention,Quantum,Quantum-Chemistry,vonDonnerstein/QuantumLab.jl,0
convention,Quantum,Quantum-Chemistry,QMCPACK/qmcpack,0
convention,Quantum,Quantum-Chemistry,MolSSI/QCElemental,22.169562927856767
convention,Quantum,Quantum-Chemistry,qcdb/qcdb,23.86
convention,Quantum,Quantum-Chemistry,aoterodelaroza/critic2,0
convention,Quantum,Quantum-Chemistry,ValeevGroup/mpqc,35.2112676056338
convention,Quantum,Quantum-Chemistry,ericchansen/q2mm,3.5876475930971847
convention,Quantum,Quantum-Chemistry,MolSSI/QCFractal,11.909581646423753
convention,Quantum,Quantum-Chemistry,cp2k/cp2k,59.30000000000001
convention,Quantum,Quantum-Chemistry,hande-qmc/hande,19.539473684210527
convention,Quantum,Quantum-Chemistry,votca/xtp,60.7445008460237
convention,Quantum,Quantum-Chemistry,pyscf/pyscf,45.18999999999999
convention,Quantum,Quantum-Chemistry,tmancal74/quantarhei,32.129999999999995
convention,Quantum,Quantum-Chemistry,LCPQ/quantum_package,9.6514745308311
convention,Quantum,Quantum-Chemistry,MolSSI/QCEngine,14.523121387283238
convention,Quantum,Quantum-Chemistry,SebWouters/CheMPS2,52.99823633156966
convention,Quantum,Cryptography,supernomad/quantum,20.0
