rule,tag,message
common-php:DuplicatedBlocks/MAJOR,design/suspicious/,1 duplicated blocks of code must be removed.; 
css:S1116/MINOR,unused/,Unexpected extra semicolon; 
css:S4647/BLOCKER,xxxxx/,"Unexpected invalid hex color ""#white""; "
css:S4648/MAJOR,xxxxx/,Unexpected duplicate name monospace; 
css:S4649/MAJOR,xxxxx/,Unexpected missing generic font family; 
css:S4650/BLOCKER,xxxxx/,"Expected single space after ""*"" operator; "
css:S4651/CRITICAL,xxxxx/,Unexpected nonstandard direction; 
css:S4652/MAJOR,xxxxx/,Unexpected newline in string; 
css:S4653/BLOCKER,xxxxx/,"Unexpected unknown unit ""%%""; "
css:S4654/BLOCKER,xxxxx/,"Unexpected unknown property ""tab-index""; "
css:S4656/MAJOR,xxxxx/,"Unexpected duplicate ""text-decoration""; "
css:S4657/CRITICAL,xxxxx/,"Unexpected shorthand ""padding"" after ""padding-left""; "
css:S4658/MAJOR,xxxxx/,Unexpected empty block; 
css:S4659/MAJOR,xxxxx/,"Unexpected unknown pseudo-class selector "":.chromeUI""; "
css:S4660/MAJOR,xxxxx/,"Unexpected unknown pseudo-element selector ""::hover""; "
css:S4661/MAJOR,xxxxx/,"Unexpected unknown media feature name ""transform-3d""; "
css:S4663/MINOR,xxxxx/,Unexpected empty comment; 
css:S4666/MAJOR,xxxxx/,"Unexpected duplicate selector ""code"", first used at line 207; "
css:S4667/MAJOR,xxxxx/,Unexpected empty source; 
css:S4668/BLOCKER,xxxxx/,Unexpected double-slash CSS comment; 
css:S4670/CRITICAL,xxxxx/,"Unexpected unknown type selector ""app-root""; "
go:S1186/CRITICAL,suspicious/,Add a nested comment explaining why this function is empty or complete the implementation.; 
go:S3776/CRITICAL,brain_overload/,Refactor this method to reduce its Cognitive Complexity from 29 to the 15 allowed.; 
javascript:S108/MAJOR,suspicious/,Empty block statement.; 
javascript:S1110/MAJOR,confusing/,Remove these useless parentheses.; 
javascript:S1116/MINOR,unused/,Unnecessary semicolon.; 
javascript:S1117/MAJOR,pitfall/suspicious/confusing/,'property' is already declared in the upper scope.; 
javascript:S1126/MINOR,clumsy/,Replace this if-then-else statement by a single return statement.; 
javascript:S1128/MINOR,unused/es2015/,Remove this unused import of 'WglTexture'.; 
