Tags,Cryptography,Experimentation,Quantum Annealing,Full-stack Library,ToolKit,Quantum-Chemistry,Compiler,Assembly,None-Quantum,Quantum Algorithsm,Web-Extension,Fun/ Game,Simulator,severity,type
unused,1.2701717258512945e-07,8.829136515271715e-07,1.0372502390229097e-06,4.0736845791080557e-07,6.346978308364963e-07,7.410715008247933e-07,7.151729350609234e-07,1.0355601825335182e-06,4.2340603156775857e-07,6.300348186630214e-07,3.129666789791636e-07,7.141227666303424e-06,6.334109583471982e-07,CRITICAL/MAJOR/BLOCKER/MINOR/,CODE_SMELL/BUG/
error_handling,2.460797673943132e-07,1.8553113886725953e-07,7.236869527331852e-08,2.2695041729604567e-07,4.450816485772265e-07,1.518033542174435e-07,2.398798555310895e-07,2.092378403071509e-07,1.1055361161154543e-07,5.4739107917808654e-08,4.3196077796136114e-08,3.988729599018423e-07,1.3312287550292615e-07,CRITICAL/MAJOR/MINOR/,CODE_SMELL/BUG/
python3,2.1580679006373397e-08,1.5464991116349061e-07,2.627847197479183e-07,2.3655705312995018e-07,1.661909490904081e-07,7.755740419143081e-07,0.0,4.030513357002721e-08,1.3989913859485456e-07,5.01300541631792e-07,0.0,0.0,5.701527444382871e-08,MAJOR/BLOCKER/,CODE_SMELL/BUG/
pitfall,3.47608252451652e-09,1.8813620216563495e-09,0.0,3.091910631944025e-07,4.734961737417745e-08,3.884242570940983e-09,3.667117378284954e-07,3.551300755043273e-08,1.158675192337306e-07,4.312834763128507e-09,5.787794325616438e-07,2.8960090083676864e-07,6.917413476136798e-08,CRITICAL/MAJOR/BLOCKER/MINOR/,CODE_SMELL/BUG/
privacy,0.0,0.0,0.0,0.0,0.0,4.614563666759977e-10,0.0,0.0,6.579585311472124e-10,0.0,0.0,0.0,0.0,MAJOR/BLOCKER/,VULNERABILITY/
owasp,0.0,2.837203900091411e-08,0.0,0.0,3.949916778844303e-10,8.179100744388115e-10,0.0,0.0,1.356847867299605e-09,0.0,0.0,0.0,0.0,MAJOR/BLOCKER/,VULNERABILITY/
unpredictable,7.960571048744744e-08,1.1161774177873802e-07,2.6477413636099703e-08,1.6718199587064958e-07,3.0098866809248587e-07,7.381343325592137e-08,9.525671385628778e-08,1.130416369917321e-07,4.506364550311676e-08,2.410904425597484e-08,2.5917646677681667e-08,3.388138995393829e-07,1.1509484223301626e-07,CRITICAL/,CODE_SMELL/
wcag2_a,3.347836960426898e-07,4.3425463499417665e-08,1.4198998970572575e-08,1.0218298490638474e-07,1.0103305147519386e-07,1.655961155090384e-07,8.91157550382636e-09,1.0875654121940606e-07,2.0652830392556883e-07,1.1573255945043099e-08,7.895049057945331e-07,6.6498895932220915e-06,1.381694242395194e-07,MAJOR/MINOR/,CODE_SMELL/BUG/
bad_practice,0.0,1.2809775395800043e-09,0.0,1.1365977518643261e-08,1.5876166611068991e-09,6.139819782781772e-11,0.0,0.0,4.199232088879545e-09,2.998312734913779e-09,3.0072817698900006e-08,1.0920704361163064e-07,4.012602729810209e-09,CRITICAL/MINOR/,CODE_SMELL/
obsolete,2.1580679006373397e-08,5.394309932420944e-07,4.237242367696511e-07,2.4464702421825023e-07,4.073471766498874e-07,8.084912033378545e-07,0.0,2.191731334376172e-07,2.8193101603779044e-07,5.516324917260424e-07,9.178639765304468e-08,1.4287819594063525e-06,3.3912896838289347e-07,MAJOR/BLOCKER/,CODE_SMELL/BUG/
sans_top25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.823293702671219e-10,0.0,0.0,0.0,0.0,MAJOR/,VULNERABILITY/
duplicate,6.66249150532333e-08,1.97585121050161e-08,2.4133594405434364e-08,5.5839050013518405e-08,8.51074799899155e-10,1.7325439636457909e-09,0.0,2.1189016447539814e-08,7.599518878874567e-09,1.1137250355315352e-08,3.265282563683136e-09,4.044705318949283e-09,1.060808569127133e-09,MAJOR/,CODE_SMELL/
user_experience,1.4483677185485502e-10,3.9696335416340506e-07,1.6210523824737023e-07,7.566971518633573e-08,2.418606946485033e-07,3.792547138687347e-08,1.4653661444443648e-10,1.9725470659026861e-07,1.477511650987359e-07,6.119676721855698e-08,9.976946303371797e-08,1.4287819594063525e-06,2.9755835927642714e-07,MAJOR/,CODE_SMELL/BUG/
